instancia;arquivo;execucao_global;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Adelaide;.\data\Adelaide.bus;1;1;2991312382;1;151,150000;151,150000;0,000000;16;24;565;19473,000000;1217,062500;2470,000000;181;180;60,267287;84,929427
Bridgend;.\data\Bridgend.bus;2;1;3062119789;1;100299,461000;299,461000;100000,000000;11;22;381;25902,000000;2354,727273;3586,000000;282;182;30,193951;32,753774
Brisbane;.\data\Brisbane.bus;3;1;1228959102;1;319,605000;319,605000;0,000000;22;28;757;33121,000000;1505,500000;2146,000000;205;202;60,164812;84,952347
Canberra;.\data\Canberra.bus;4;1;1840268610;1;286,990000;286,990000;0,000000;14;31;499;24583,000000;1755,928571;3378,000000;764;664;30,582418;31,062434
Cardiff;.\data\Cardiff.bus;5;1;974319580;1;500075,860000;75,860000;500000,000000;5;8;156;8763,000000;1752,600000;2280,000000;250;150;27,815418;30,389549
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;1;1500158,265000;158,265000;1500000,000000;20;23;680;22354,000000;1117,700000;1740,000000;198;160;60,211744;68,506094
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;1;600045,768000;45,768000;600000,000000;9;11;320;8125,000000;902,777778;1360,000000;153;125;60,423545;67,788345
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;1;105,186000;105,186000;0,000000;8;10;274;7832,000000;979,000000;1350,000000;202;102;18,802368;22,699162
Porthcawl;.\data\Porthcawl.bus;9;1;3090095699;1;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;114;14;3,126155;3,306198
Suffolk;.\data\Suffolk.bus;10;1;2109339754;1;158,202000;158,202000;0,000000;6;21;209;12295,000000;2049,166667;3115,000000;265;165;5,713685;5,981893
