instancia;numero_execucoes;melhor_funcao_objetivo;media_funcao_objetivo;pior_funcao_objetivo;desvio_padrao_funcao_objetivo;media_numero_rotas;media_paradas_selecionadas;media_tempo_algoritmo_seg;media_tempo_total_rotas_seg;media_maior_tempo_rota_seg;melhor_seed
Adelaide;1;139,893000;139,893000;139,893000;0,000000;16,000000;23,000000;68,207990;18865,000000;1598,000000;2991312382
Bridgend;1;100302,435000;100302,435000;100302,435000;0,000000;11,000000;20,000000;34,924543;26257,000000;3500,000000;3062119789
Brisbane;1;298,514000;298,514000;298,514000;0,000000;22,000000;27,000000;193,471159;31647,000000;2337,000000;1228959102
Canberra;1;286,775000;286,775000;286,775000;0,000000;14,000000;30,000000;9,272589;24700,000000;3378,000000;1840268610
Cardiff;1;500075,697000;500075,697000;500075,697000;0,000000;5,000000;8,000000;11,658786;8729,000000;2280,000000;974319580
Edinburgh-1;1;156,771000;156,771000;156,771000;0,000000;20,000000;24,000000;53,525764;22013,000000;2245,000000;2967327842
Edinburgh-2;1;46,879000;46,879000;46,879000;0,000000;9,000000;11,000000;56,061651;8403,000000;1726,000000;2367878886
MiltonKeynes;1;103,079000;103,079000;103,079000;0,000000;8,000000;10,000000;9,035715;7578,000000;1150,000000;3088727057
Porthcawl;1;25,483000;25,483000;25,483000;0,000000;2,000000;3,000000;1,430345;2598,000000;1614,000000;3090095699
Suffolk;1;152,426000;152,426000;152,426000;0,000000;6,000000;21,000000;5,036643;11830,000000;2642,000000;2109339754
