instancia;arquivo;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Canberra;.\data\Canberra.bus;3;783796023;1;310.932000;310.932000;0.000000;15;31;499;26672.000000;1778.133333;3159.000000;343;243;11.427041;11.961445
Canberra;.\data\Canberra.bus;4;1890890179;1;290.396000;290.396000;0.000000;14;32;499;25368.000000;1812.000000;3362.000000;363;263;12.809197;13.416222
Canberra;.\data\Canberra.bus;5;753559554;1;299.892000;299.892000;0.000000;14;30;499;26040.000000;1860.000000;3245.000000;901;801;30.224431;30.912729
Canberra;.\data\Canberra.bus;6;359602516;1;279.201000;279.201000;0.000000;14;29;499;23803.000000;1700.214286;3158.000000;984;884;34.872459;35.503405
Canberra;.\data\Canberra.bus;7;2282995751;1;299.384000;299.384000;0.000000;15;30;499;25434.000000;1695.600000;3159.000000;685;585;23.096313;23.738584
Canberra;.\data\Canberra.bus;8;3059434818;1;296.204000;296.204000;0.000000;14;31;499;24918.000000;1779.857143;2864.000000;521;421;19.328905;19.985817
Canberra;.\data\Canberra.bus;9;2284182100;1;316.157000;316.157000;0.000000;15;29;499;26838.000000;1789.200000;2967.000000;185;85;6.817740;7.435662
Canberra;.\data\Canberra.bus;10;1837659695;1;294.007000;294.007000;0.000000;15;26;499;24889.000000;1659.266667;3159.000000;668;568;22.562814;23.213227
Cardiff;.\data\Cardiff.bus;1;2724731384;1;500073.644000;73.644000;500000.000000;4;8;156;7990.000000;1997.500000;3165.000000;341;241;15.173699;16.879225
Cardiff;.\data\Cardiff.bus;2;1278957501;1;500076.629000;76.629000;500000.000000;5;8;156;8344.000000;1668.800000;2182.000000;234;134;11.511917;13.612912
Cardiff;.\data\Cardiff.bus;3;3648281776;1;500076.223000;76.223000;500000.000000;5;8;156;8780.000000;1756.000000;2280.000000;293;193;14.946908;16.777620
Cardiff;.\data\Cardiff.bus;4;2113488007;1;500078.396000;78.396000;500000.000000;5;8;156;8081.000000;1616.200000;2064.000000;238;138;12.093102;14.301542
Cardiff;.\data\Cardiff.bus;5;3111511913;1;500077.071000;77.071000;500000.000000;5;8;156;8904.000000;1780.800000;2182.000000;119;19;6.490113;8.315428
Cardiff;.\data\Cardiff.bus;6;3179548771;1;500077.222000;77.222000;500000.000000;5;8;156;8906.000000;1781.200000;2280.000000;191;91;9.608556;11.387323
Cardiff;.\data\Cardiff.bus;7;2624326012;1;500078.237000;78.237000;500000.000000;4;8;156;8528.000000;2132.000000;2872.000000;185;85;8.235661;10.071684
Cardiff;.\data\Cardiff.bus;8;1536434012;1;500076.406000;76.406000;500000.000000;5;7;156;8341.000000;1668.200000;2235.000000;244;144;11.519030;13.308071
