instancia;arquivo;execucao_global;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Brisbane;.\data\Brisbane.bus;28;8;2983950756;8;305,901000;305,901000;0,000000;22;30;757;32329,000000;1469,500000;2179,000000;1061;961;248,427934;265,616934
Brisbane;.\data\Brisbane.bus;29;9;1709587040;8;321,888000;321,888000;0,000000;22;31;757;33195,000000;1508,863636;2326,000000;507;407;123,860622;138,602499
Brisbane;.\data\Brisbane.bus;30;10;2550791376;8;312,931000;312,931000;0,000000;22;28;757;33026,000000;1501,181818;2597,000000;734;634;189,438134;208,631634
Canberra;.\data\Canberra.bus;31;1;3169666116;8;291,904000;291,904000;0,000000;14;31;499;25319,000000;1808,500000;3485,000000;797;697;35,171867;36,014629
Canberra;.\data\Canberra.bus;32;2;2713526065;8;298,537000;298,537000;0,000000;14;28;499;25137,000000;1795,500000;3172,000000;465;365;16,187914;16,926071
Canberra;.\data\Canberra.bus;33;3;783796023;8;286,785000;286,785000;0,000000;14;29;499;24635,000000;1759,642857;3378,000000;385;285;12,626502;13,209118
Canberra;.\data\Canberra.bus;34;4;1890890179;8;315,991000;315,991000;0,000000;14;29;499;26958,000000;1925,571429;2761,000000;426;326;15,942496;16,482954
Canberra;.\data\Canberra.bus;35;5;753559554;8;287,617000;287,617000;0,000000;14;28;499;24925,000000;1780,357143;3680,000000;403;303;18,622486;19,451310
Canberra;.\data\Canberra.bus;36;6;359602516;8;296,722000;296,722000;0,000000;14;32;499;25559,000000;1825,642857;3140,000000;467;367;20,664157;21,785768
Canberra;.\data\Canberra.bus;37;7;2282995751;8;304,869000;304,869000;0,000000;14;31;499;25811,000000;1843,642857;3518,000000;373;273;14,946290;15,596831
Canberra;.\data\Canberra.bus;38;8;3059434818;8;298,923000;298,923000;0,000000;15;30;499;25745,000000;1716,333333;3158,000000;593;493;26,362243;27,354885
Canberra;.\data\Canberra.bus;39;9;2284182100;8;295,592000;295,592000;0,000000;15;29;499;25425,000000;1695,000000;3158,000000;547;447;21,694886;22,434412
Canberra;.\data\Canberra.bus;40;10;1837659695;8;306,713000;306,713000;0,000000;14;29;499;26190,000000;1870,714286;3874,000000;290;190;11,352520;11,984733
Cardiff;.\data\Cardiff.bus;41;1;2724731384;8;500075,669000;75,669000;500000,000000;5;8;156;8811,000000;1762,200000;2389,000000;187;87;10,306812;11,935027
Cardiff;.\data\Cardiff.bus;42;2;1278957501;8;500077,252000;77,252000;500000,000000;5;8;156;8465,000000;1693,000000;2131,000000;211;111;12,109972;13,886611
Cardiff;.\data\Cardiff.bus;43;3;3648281776;8;500077,172000;77,172000;500000,000000;5;7;156;8400,000000;1680,000000;2131,000000;211;111;13,065904;15,297382
Cardiff;.\data\Cardiff.bus;44;4;2113488007;8;500076,063000;76,063000;500000,000000;5;7;156;8740,000000;1748,000000;2283,000000;146;46;8,966791;11,350500
Cardiff;.\data\Cardiff.bus;45;5;3111511913;8;500076,994000;76,994000;500000,000000;5;8;156;8925,000000;1785,000000;2182,000000;331;231;18,388828;20,155290
Cardiff;.\data\Cardiff.bus;46;6;3179548771;8;500077,126000;77,126000;500000,000000;4;9;156;8850,000000;2212,500000;3305,000000;177;77;13,664745;16,074978
Cardiff;.\data\Cardiff.bus;47;7;2624326012;8;500078,547000;78,547000;500000,000000;5;8;156;8101,000000;1620,200000;2062,000000;164;64;10,984062;13,419288
Cardiff;.\data\Cardiff.bus;48;8;1536434012;8;500077,827000;77,827000;500000,000000;4;8;156;7963,000000;1990,750000;3309,000000;160;60;8,764274;10,813563
Cardiff;.\data\Cardiff.bus;49;9;3102870708;8;500076,702000;76,702000;500000,000000;5;7;156;8336,000000;1667,200000;2118,000000;204;104;11,064049;12,794754
Cardiff;.\data\Cardiff.bus;50;10;1791903078;8;500077,073000;77,073000;500000,000000;5;9;156;8436,000000;1687,200000;2381,000000;208;108;11,492794;13,188449
Edinburgh-1;.\data\Edinburgh-1.bus;51;1;1387097953;8;600168,552000;168,552000;600000,000000;20;27;680;23394,000000;1169,700000;2091,000000;443;343;96,186434;102,996556
Edinburgh-1;.\data\Edinburgh-1.bus;52;2;2812006613;8;1300137,427000;137,427000;1300000,000000;18;22;680;20163,000000;1120,166667;1758,000000;375;275;80,455494;84,920760
Edinburgh-1;.\data\Edinburgh-1.bus;53;3;1553870454;8;300155,126000;155,126000;300000,000000;20;23;680;22318,000000;1115,900000;1730,000000;416;316;99,784329;106,374877
Edinburgh-1;.\data\Edinburgh-1.bus;54;4;1605464926;8;200143,240000;143,240000;200000,000000;19;23;680;20607,000000;1084,578947;1831,000000;616;516;120,606901;125,365786
Edinburgh-1;.\data\Edinburgh-1.bus;55;5;980383131;8;168,025000;168,025000;0,000000;20;27;680;23597,000000;1179,850000;2078,000000;251;151;41,355564;45,765085
Edinburgh-1;.\data\Edinburgh-1.bus;56;6;1007225122;8;400147,848000;147,848000;400000,000000;19;27;680;21534,000000;1133,368421;1963,000000;775;675;135,400832;141,687777
Edinburgh-1;.\data\Edinburgh-1.bus;57;7;1261492193;8;200153,652000;153,652000;200000,000000;20;24;680;21932,000000;1096,600000;1988,000000;588;488;82,788392;86,580978
Edinburgh-1;.\data\Edinburgh-1.bus;58;8;4243407436;8;1200155,855000;155,855000;1200000,000000;19;24;680;22364,000000;1177,052632;2695,000000;586;486;86,738001;89,988686
Edinburgh-1;.\data\Edinburgh-1.bus;59;9;2710021800;8;153,146000;153,146000;0,000000;20;25;680;21972,000000;1098,600000;1841,000000;918;818;121,467255;126,036913
Edinburgh-1;.\data\Edinburgh-1.bus;60;10;3289927555;8;200146,564000;146,564000;200000,000000;19;25;680;20709,000000;1089,947368;1854,000000;734;634;100,111318;104,046071
Edinburgh-2;.\data\Edinburgh-2.bus;61;1;395587690;8;36,229000;36,229000;0,000000;9;9;320;6614,000000;734,888889;1286,000000;463;363;94,865535;98,081006
Edinburgh-2;.\data\Edinburgh-2.bus;62;2;3337208645;8;600032,670000;32,670000;600000,000000;8;9;320;5996,000000;749,500000;1244,000000;363;263;57,903621;61,230650
Edinburgh-2;.\data\Edinburgh-2.bus;63;3;1862732352;8;43,241000;43,241000;0,000000;9;9;320;7680,000000;853,333333;1296,000000;217;117;46,702960;50,297763
Edinburgh-2;.\data\Edinburgh-2.bus;64;4;120181579;8;46,251000;46,251000;0,000000;10;11;320;8603,000000;860,300000;1265,000000;294;194;57,138562;60,770628
Edinburgh-2;.\data\Edinburgh-2.bus;65;5;1850541474;8;47,716000;47,716000;0,000000;9;10;320;8407,000000;934,111111;1306,000000;345;245;62,696790;65,817477
Edinburgh-2;.\data\Edinburgh-2.bus;66;6;746922810;8;43,089000;43,089000;0,000000;9;12;320;7700,000000;855,555556;1498,000000;647;547;134,749864;137,936805
Edinburgh-2;.\data\Edinburgh-2.bus;67;7;2120361354;8;46,087000;46,087000;0,000000;10;10;320;8284,000000;828,400000;1186,000000;361;261;63,633536;67,445218
Edinburgh-2;.\data\Edinburgh-2.bus;68;8;661778198;8;100044,593000;44,593000;100000,000000;9;9;320;8154,000000;906,000000;1374,000000;157;57;30,591846;34,536247
Edinburgh-2;.\data\Edinburgh-2.bus;69;9;1828927181;8;41,251000;41,251000;0,000000;9;9;320;7366,000000;818,444444;1158,000000;349;249;60,332242;63,519943
Edinburgh-2;.\data\Edinburgh-2.bus;70;10;331083922;8;43,763000;43,763000;0,000000;10;10;320;7991,000000;799,100000;1237,000000;347;247;74,500705;78,434625
MiltonKeynes;.\data\MiltonKeynes.bus;71;1;1341151716;8;100,505000;100,505000;0,000000;7;9;274;7254,000000;1036,285714;1229,000000;124;24;6,396502;8,004278
MiltonKeynes;.\data\MiltonKeynes.bus;72;2;3821944079;8;102,584000;102,584000;0,000000;8;10;274;7788,000000;973,500000;1249,000000;467;367;24,030036;25,363867
MiltonKeynes;.\data\MiltonKeynes.bus;73;3;1831164907;8;102,933000;102,933000;0,000000;8;12;274;7664,000000;958,000000;1129,000000;378;278;16,731956;17,813370
MiltonKeynes;.\data\MiltonKeynes.bus;74;4;3222851995;8;102,580000;102,580000;0,000000;8;12;274;7887,000000;985,875000;1248,000000;602;502;24,887889;26,083019
MiltonKeynes;.\data\MiltonKeynes.bus;75;5;3837077245;8;104,098000;104,098000;0,000000;8;10;274;7765,000000;970,625000;1155,000000;413;313;18,524435;19,823790
MiltonKeynes;.\data\MiltonKeynes.bus;76;6;2978144236;8;107,685000;107,685000;0,000000;8;12;274;8102,000000;1012,750000;1211,000000;286;186;14,385568;15,866555
MiltonKeynes;.\data\MiltonKeynes.bus;77;7;4055136414;8;101,189000;101,189000;0,000000;7;10;274;7408,000000;1058,285714;1367,000000;474;374;26,688925;28,951200
MiltonKeynes;.\data\MiltonKeynes.bus;78;8;2198006964;8;104,330000;104,330000;0,000000;8;11;274;7736,000000;967,000000;1125,000000;303;203;17,031951;18,581750
MiltonKeynes;.\data\MiltonKeynes.bus;79;9;2155372102;8;105,314000;105,314000;0,000000;8;10;274;7983,000000;997,875000;1249,000000;202;102;11,688342;13,696887
MiltonKeynes;.\data\MiltonKeynes.bus;80;10;1994016109;8;104,843000;104,843000;0,000000;8;11;274;7622,000000;952,750000;1188,000000;296;196;17,764068;19,484143
Porthcawl;.\data\Porthcawl.bus;81;1;2679857523;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;112;12;1,894746;2,036464
Porthcawl;.\data\Porthcawl.bus;82;2;2441391258;8;26,012000;26,012000;0,000000;2;4;66;2648,000000;1324,000000;1664,000000;130;30;1,937233;2,072675
Porthcawl;.\data\Porthcawl.bus;83;3;496577232;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;110;10;1,882496;2,029184
Porthcawl;.\data\Porthcawl.bus;84;4;1299440006;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;215;115;3,255880;3,403689
Porthcawl;.\data\Porthcawl.bus;85;5;1362730766;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;108;8;2,135682;2,263918
Porthcawl;.\data\Porthcawl.bus;86;6;2135924991;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;109;9;2,795618;3,001971
Porthcawl;.\data\Porthcawl.bus;87;7;1781665012;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;104;4;2,662811;2,903783
Porthcawl;.\data\Porthcawl.bus;88;8;2934591847;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;117;17;2,125239;2,328195
Porthcawl;.\data\Porthcawl.bus;89;9;3720769483;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;122;22;1,874958;2,010708
Porthcawl;.\data\Porthcawl.bus;90;10;3937190838;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;103;3;1,540408;1,659210
Suffolk;.\data\Suffolk.bus;91;1;1075697607;8;151,221000;151,221000;0,000000;6;21;209;11588,000000;1931,333333;2574,000000;604;504;7,118146;7,258162
Suffolk;.\data\Suffolk.bus;92;2;467846273;8;155,167000;155,167000;0,000000;6;22;209;11801,000000;1966,833333;2758,000000;549;449;6,056180;6,172640
Suffolk;.\data\Suffolk.bus;93;3;2074616363;8;162,314000;162,314000;0,000000;6;20;209;12430,000000;2071,666667;2543,000000;413;313;4,222881;4,339307
Suffolk;.\data\Suffolk.bus;94;4;2128121018;8;161,501000;161,501000;0,000000;6;22;209;12114,000000;2019,000000;2456,000000;403;303;4,302960;4,421620
Suffolk;.\data\Suffolk.bus;95;5;4232947045;8;167,069000;167,069000;0,000000;6;22;209;12420,000000;2070,000000;2838,000000;330;230;3,495902;3,613008
Suffolk;.\data\Suffolk.bus;96;6;1000022711;8;152,256000;152,256000;0,000000;6;23;209;11855,000000;1975,833333;2577,000000;288;188;3,567904;3,712124
Suffolk;.\data\Suffolk.bus;97;7;2231171609;8;154,841000;154,841000;0,000000;6;20;209;11930,000000;1988,333333;2472,000000;459;359;4,920303;5,065554
Suffolk;.\data\Suffolk.bus;98;8;1876302258;8;164,240000;164,240000;0,000000;6;21;209;12058,000000;2009,666667;2583,000000;264;164;2,879145;2,999546
Suffolk;.\data\Suffolk.bus;99;9;2632361940;8;162,585000;162,585000;0,000000;6;21;209;12177,000000;2029,500000;2986,000000;495;395;5,476369;5,606957
Suffolk;.\data\Suffolk.bus;100;10;3227852600;8;159,685000;159,685000;0,000000;6;22;209;12081,000000;2013,500000;2876,000000;325;225;4,139610;4,266611
