instancia;arquivo;execucao_global;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;139,893000;139,893000;0,000000;16;23;565;18865,000000;1179,062500;1598,000000;400;300;144,015538;156,415753
Adelaide;.\data\Adelaide.bus;2;2;3062119789;8;142,032000;142,032000;0,000000;16;22;565;19019,000000;1188,687500;1908,000000;469;369;179,713935;192,102180
Adelaide;.\data\Adelaide.bus;3;3;1228959102;8;145,974000;145,974000;0,000000;17;21;565;19331,000000;1137,117647;1633,000000;563;463;125,879329;135,415955
Adelaide;.\data\Adelaide.bus;4;4;1840268610;8;143,081000;143,081000;0,000000;16;21;565;18594,000000;1162,125000;1801,000000;877;777;163,348804;169,423303
Adelaide;.\data\Adelaide.bus;5;5;974319580;8;146,945000;146,945000;0,000000;16;22;565;19415,000000;1213,437500;2342,000000;524;424;121,508787;127,528161
Adelaide;.\data\Adelaide.bus;6;6;2967327842;8;148,067000;148,067000;0,000000;16;24;565;19484,000000;1217,750000;1637,000000;730;630;134,381146;140,213477
Adelaide;.\data\Adelaide.bus;7;7;2367878886;8;149,550000;149,550000;0,000000;16;26;565;19749,000000;1234,312500;1798,000000;218;118;50,172649;57,233090
Adelaide;.\data\Adelaide.bus;8;8;3088727057;8;150,640000;150,640000;0,000000;16;24;565;19447,000000;1215,437500;1695,000000;285;185;48,443685;54,620394
Adelaide;.\data\Adelaide.bus;9;9;3090095699;8;153,536000;153,536000;0,000000;17;25;565;19829,000000;1166,411765;1568,000000;368;268;73,641338;81,848689
Adelaide;.\data\Adelaide.bus;10;10;2109339754;8;148,260000;148,260000;0,000000;16;25;565;19513,000000;1219,562500;1662,000000;217;117;45,326184;54,078065
Bridgend;.\data\Bridgend.bus;11;1;1817228411;8;100290,341000;290,341000;100000,000000;10;23;381;25320,000000;2532,000000;3629,000000;380;280;20,321210;22,263216
Bridgend;.\data\Bridgend.bus;12;2;3350193721;8;100302,791000;302,791000;100000,000000;11;21;381;26898,000000;2445,272727;3670,000000;365;265;19,479813;21,258667
Bridgend;.\data\Bridgend.bus;13;3;4212350166;8;100302,554000;302,554000;100000,000000;11;23;381;27217,000000;2474,272727;3703,000000;346;246;22,053401;23,975806
Bridgend;.\data\Bridgend.bus;14;4;1764906721;8;100290,077000;290,077000;100000,000000;10;23;381;24999,000000;2499,900000;3524,000000;521;421;48,209464;50,528053
Bridgend;.\data\Bridgend.bus;15;5;2941321312;8;100290,237000;290,237000;100000,000000;10;21;381;25110,000000;2511,000000;3522,000000;592;492;49,986082;53,122962
Bridgend;.\data\Bridgend.bus;16;6;2489768049;8;100307,043000;307,043000;100000,000000;11;27;381;27017,000000;2456,090909;3945,000000;1010;910;73,666907;76,611079
Bridgend;.\data\Bridgend.bus;17;7;2065586814;8;100294,886000;294,886000;100000,000000;11;24;381;26149,000000;2377,181818;3464,000000;435;335;22,174094;24,349532
Bridgend;.\data\Bridgend.bus;18;8;601083951;8;100293,749000;293,749000;100000,000000;10;20;381;24893,000000;2489,300000;3456,000000;890;790;50,181426;51,932076
Bridgend;.\data\Bridgend.bus;19;9;1684131913;8;600305,908000;305,908000;600000,000000;10;21;381;26960,000000;2696,000000;4220,000000;579;479;39,562148;41,963619
Bridgend;.\data\Bridgend.bus;20;10;1722357280;8;100297,196000;297,196000;100000,000000;10;19;381;26399,000000;2639,900000;3599,000000;360;260;29,029377;31,837305
Brisbane;.\data\Brisbane.bus;21;1;1473938350;8;322,031000;322,031000;0,000000;22;28;757;33901,000000;1540,954545;2291,000000;432;332;85,628433;103,458019
Brisbane;.\data\Brisbane.bus;22;2;2694306016;8;298,201000;298,201000;0,000000;22;27;757;31425,000000;1428,409091;2236,000000;776;676;129,785597;142,290952
Brisbane;.\data\Brisbane.bus;23;3;3131244655;8;326,070000;326,070000;0,000000;22;31;757;33807,000000;1536,681818;2236,000000;492;392;82,638345;93,916784
Brisbane;.\data\Brisbane.bus;24;4;1392217497;8;318,505000;318,505000;0,000000;22;33;757;33466,000000;1521,181818;2325,000000;870;770;154,736033;168,486323
Brisbane;.\data\Brisbane.bus;25;5;1883653459;8;296,220000;296,220000;0,000000;22;31;757;31746,000000;1443,000000;2291,000000;1173;1073;202,064999;213,830615
Brisbane;.\data\Brisbane.bus;26;6;1051233102;8;300,740000;300,740000;0,000000;22;29;757;31421,000000;1428,227273;2398,000000;682;582;115,642198;129,166589
Brisbane;.\data\Brisbane.bus;27;7;256314621;8;315,952000;315,952000;0,000000;22;30;757;33565,000000;1525,681818;2948,000000;632;532;117,213901;128,706739
