instancia;arquivo;execucao_global;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Adelaide;.\data\Adelaide.bus;1;1;2991312382;8;139,893000;139,893000;0,000000;16;23;565;18865,000000;1179,062500;1598,000000;400;300;68,207990;77,072646
Bridgend;.\data\Bridgend.bus;2;1;3062119789;8;100302,435000;302,435000;100000,000000;11;20;381;26257,000000;2387,000000;3500,000000;703;603;34,924543;36,778938
Brisbane;.\data\Brisbane.bus;3;1;1228959102;8;298,514000;298,514000;0,000000;22;27;757;31647,000000;1438,500000;2337,000000;1100;1000;193,471159;205,968329
Canberra;.\data\Canberra.bus;4;1;1840268610;8;286,775000;286,775000;0,000000;14;30;499;24700,000000;1764,285714;3378,000000;362;262;9,272589;9,690608
Cardiff;.\data\Cardiff.bus;5;1;974319580;8;500075,697000;75,697000;500000,000000;5;8;156;8729,000000;1745,800000;2280,000000;352;252;11,658786;12,921858
Edinburgh-1;.\data\Edinburgh-1.bus;6;1;2967327842;8;156,771000;156,771000;0,000000;20;24;680;22013,000000;1100,650000;2245,000000;392;292;53,525764;57,247977
Edinburgh-2;.\data\Edinburgh-2.bus;7;1;2367878886;8;46,879000;46,879000;0,000000;9;11;320;8403,000000;933,666667;1726,000000;340;240;56,061651;58,980719
MiltonKeynes;.\data\MiltonKeynes.bus;8;1;3088727057;8;103,079000;103,079000;0,000000;8;10;274;7578,000000;947,250000;1150,000000;195;95;9,035715;10,227026
Porthcawl;.\data\Porthcawl.bus;9;1;3090095699;8;25,483000;25,483000;0,000000;2;3;66;2598,000000;1299,000000;1614,000000;108;8;1,430345;1,536110
Suffolk;.\data\Suffolk.bus;10;1;2109339754;8;152,426000;152,426000;0,000000;6;21;209;11830,000000;1971,666667;2642,000000;410;310;5,036643;5,189419
