instancia;numero_execucoes;melhor_funcao_objetivo;media_funcao_objetivo;pior_funcao_objetivo;desvio_padrao_funcao_objetivo;media_numero_rotas;media_paradas_selecionadas;media_tempo_algoritmo_seg;media_tempo_total_rotas_seg;media_maior_tempo_rota_seg;melhor_seed
Adelaide;10;139,893000;146,797800;153,536000;4,168578;16,200000;23,300000;108,643140;19324,600000;1764,200000;2991312382
Bridgend;10;100290,077000;150297,478200;600305,908000;158116,845049;10,400000;22,200000;37,466392;26096,200000;3673,200000;1764906721
Brisbane;10;296,220000;311,843900;326,070000;10,843949;22,000000;29,800000;144,943620;32788,100000;2382,700000;1883653459
Canberra;10;286,785000;298,365300;315,991000;8,973773;14,200000;29,600000;19,357136;25570,400000;3332,400000;783796023
Cardiff;10;500075,669000;500077,042500;500078,547000;0,810469;4,800000;7,900000;11,880823;8502,700000;2429,100000;2724731384
Edinburgh-1;10;153,146000;440152,943500;1300137,427000;462358,261655;19,400000;24,700000;96,489452;21859,000000;1982,900000;2710021800
Edinburgh-2;10;36,229000;70042,489000;600032,670000;188852,864009;9,200000;9,800000;68,311566;7679,500000;1285,000000;395587690
MiltonKeynes;10;100,505000;103,606100;107,685000;2,104495;7,800000;10,700000;17,812967;7720,900000;1215,000000;1341151716
Porthcawl;10;25,483000;25,535900;26,012000;0,167284;2,000000;3,100000;2,210507;2603,000000;1619,000000;2679857523
Suffolk;10;151,221000;159,087900;167,069000;5,385492;6,000000;21,400000;4,617940;12045,400000;2666,300000;1075697607
